Files in group 7:
Filename	Variants
PD22036a.vcf	1047
PD13427a.vcf	1134
PD11391a.vcf	1274
PD18775a.vcf	1330
PD4194a.vcf	1428
PD22251a.vcf	1505
PD6417a.vcf	1546
PD18022a.vcf	1602
PD18776a.vcf	1629
PD7209a.vcf	1665
PD9755a.vcf	1710
PD8981a.vcf	1748
PD5947a.vcf	1779
PD24225a.vcf	1821
PD11385a.vcf	1887
PD6711a2.vcf	1914
PD11757a.vcf	1952
PD7304a.vcf	2003
PD6418a.vcf	2020
PD8828a.vcf	2061
PD9761a.vcf	2103
PD9569a.vcf	2141
PD9065a.vcf	2210
PD24195a.vcf	2240
PD5961a.vcf	2314
PD11374a.vcf	2383
PD9467a.vcf	2463
PD18768a.vcf	2556
PD18754a.vcf	2593
PD4605a.vcf	2650
PD4965a.vcf	2706
PD4971a.vcf	2765
PD8997a.vcf	2831
PD6732b.vcf	2915
PD23560a.vcf	3006
PD14465a.vcf	3097
PD4967a.vcf	3227
PD11342a.vcf	3305
PD11357a.vcf	3379
PD18251a.vcf	3487
PD24206a.vcf	3610
PD4980a.vcf	3796
PD5930a.vcf	3946
PD8977a.vcf	4046
PD8615a.vcf	4270
PD8965a.vcf	4451
PD14457a.vcf	4567
PD18749a.vcf	4661
PD24207a.vcf	4745
PD11397a.vcf	4827
PD11388a.vcf	4989
PD7069a.vcf	5131
PD13307a.vcf	5353
PD3904a.vcf	5668
PD8973a.vcf	5908
PD4955a.vcf	6070
PD7215a.vcf	6384
PD6411a.vcf	6675
PD8611a.vcf	6828
PD23554a.vcf	6899
PD6042a.vcf	7119
PD8995a.vcf	7586
PD13753a.vcf	7995
PD7211a.vcf	8286
PD6731a2.vcf	8549
PD18247a.vcf	9136
PD9000a.vcf	9510
PD9595a.vcf	9722
PD24212a.vcf	10055
PD9585a.vcf	10284
PD13299a.vcf	10735
PD5934a.vcf	11579
PD11327a.vcf	12715
PD24194a.vcf	13695
PD24320a.vcf	15695
PD9576a.vcf	17838
PD8982a.vcf	21557
PD4607a.vcf	25953
PD6405a.vcf	35317
PD13604a.vcf	93102

Summary for group 7:
Total files: 80
Total variants: 536678
Average variants per file: 6708.48
