Files in huge_12k category:
Filename	Variants
PD4952a.vcf	12033
PD10014a.vcf	12125
PD9064a.vcf	12351
PD11327a.vcf	12715
PD4844a.vcf	12810
PD7248a.vcf	13042
PD13771a.vcf	13089
PD23574a.vcf	13094
PD11365a.vcf	13652
PD6684a.vcf	13677
PD24194a.vcf	13695
PD11372a.vcf	13793
PD13297a.vcf	14982
PD5948a.vcf	15172
PD9009a.vcf	15210
PD24217a.vcf	15305
PD8980a.vcf	15459
PD24320a.vcf	15695
PD8652a2.vcf	15856
PD7428a.vcf	15950
PD24327a.vcf	16185
PD11751a.vcf	16648
PD18020a.vcf	17772
PD24192a.vcf	17827
PD9576a.vcf	17838
PD7426a.vcf	18497
PD13296a.vcf	18582
PD11379a.vcf	19382
PD18045a.vcf	19468
PD24197a.vcf	20215
PD24201a.vcf	20478
PD8982a.vcf	21557
PD11465a.vcf	22551
PD6043a.vcf	22764
PD24333a.vcf	22884
PD24326a.vcf	23620
PD6412a.vcf	25187
PD24208a.vcf	25624
PD4607a.vcf	25953
PD8660a2.vcf	26128
PD8832a.vcf	26409
PD4072a.vcf	27931
PD24189a.vcf	29590
PD9568a.vcf	30395
PD13425a.vcf	34502
PD6405a.vcf	35317
PD4977a.vcf	42258
PD9063a.vcf	50045
PD23561a.vcf	58028
PD5937a.vcf	76097
PD23564a.vcf	83447
PD23579a.vcf	87311
PD13604a.vcf	93102

Summary for huge_12k:
Total files: 53
Total variants: 1373297
Average variants per file: 25911.26
