Files in large_7k category:
Filename	Variants
PD11742a.vcf	7005
PD4841a.vcf	7020
PD5928a.vcf	7114
PD6042a.vcf	7119
PD23567a.vcf	7198
PD6410a.vcf	7313
PD23562a.vcf	7348
PD11349a.vcf	7449
PD24186a.vcf	7488
PD4975a.vcf	7506
PD8995a.vcf	7586
PD11752a.vcf	7636
PD22357a.vcf	7719
PD24202a.vcf	7779
PD7205a.vcf	7858
PD9702a.vcf	7861
PD7250a.vcf	7890
PD13753a.vcf	7995
PD8621a.vcf	8062
PD11367a.vcf	8164
PD4116a.vcf	8170
PD23563a.vcf	8223
PD8830a.vcf	8246
PD10011a.vcf	8272
PD7211a.vcf	8286
PD13298a.vcf	8367
PD7307a.vcf	8424
PD13627a.vcf	8442
PD9002a.vcf	8476
PD9592a.vcf	8496
PD22360a.vcf	8510
PD6731a2.vcf	8549
PD5925a.vcf	8780
PD6409a.vcf	8810
PD5945a.vcf	8833
PD23565a.vcf	8852
PD22363a.vcf	8905
PD24205a.vcf	8928
PD18247a.vcf	9136
PD8984a.vcf	9152
PD7217a.vcf	9169
PD4604a.vcf	9323
PD4958a.vcf	9338
PD24216a.vcf	9339
PD6047a.vcf	9442
PD9000a.vcf	9510
PD24182a.vcf	9537
PD6415a.vcf	9545
PD4006a.vcf	9575
PD11326a.vcf	9628
PD5935a.vcf	9671
PD4874a.vcf	9709
PD9595a.vcf	9722
PD4115a.vcf	9752
PD22355a.vcf	9761
PD24190a.vcf	9808
PD22366a.vcf	9809
PD4107a.vcf	9874
PD14453a.vcf	9916
PD24212a.vcf	10055
PD5932a.vcf	10060
PD11750a.vcf	10078
PD6730b.vcf	10089
PD6722a.vcf	10110
PD23558a.vcf	10134
PD24209a.vcf	10169
PD9585a.vcf	10284
PD4109a.vcf	10313
PD11345a.vcf	10351
PD24325a.vcf	10387
PD3945a.vcf	10551
PD9004a.vcf	10625
PD9604a.vcf	10669
PD13299a.vcf	10735
PD11344a.vcf	11028
PD4847a.vcf	11042
PD18024a.vcf	11104
PD8964a.vcf	11151
PD24193a.vcf	11237
PD13625a.vcf	11239
PD5934a.vcf	11579
PD4956a.vcf	11582
PD7219a.vcf	11621
PD11748a.vcf	11761

Summary for large_7k:
Total files: 84
Total variants: 773349
Average variants per file: 9206.54
