Files in medium_3.5k category:
Filename	Variants
PD9567a.vcf	3512
PD18050a.vcf	3566
PD8619a.vcf	3571
PD9539a.vcf	3580
PD14433a.vcf	3582
PD24206a.vcf	3610
PD24220a.vcf	3611
PD7066a.vcf	3638
PD14435a.vcf	3716
PD4978a.vcf	3736
PD4252a.vcf	3773
PD11395a.vcf	3792
PD4980a.vcf	3796
PD13623a.vcf	3800
PD4826a.vcf	3818
PD18734a.vcf	3828
PD13766a.vcf	3837
PD24314a.vcf	3870
PD5946a.vcf	3912
PD5930a.vcf	3946
PD24335a.vcf	3948
PD13424a.vcf	3954
PD23577a.vcf	3970
PD11816a.vcf	4011
PD8979a.vcf	4037
PD5960a.vcf	4045
PD8977a.vcf	4046
PD9572a.vcf	4083
PD5956a.vcf	4085
PD11760a.vcf	4091
PD13630a.vcf	4107
PD13608a.vcf	4107
PD9756a.vcf	4212
PD8615a.vcf	4270
PD18189a.vcf	4272
PD4192a.vcf	4292
PD4836a.vcf	4303
PD11358a.vcf	4327
PD13622a.vcf	4355
PD14437a.vcf	4363
PD8965a.vcf	4451
PD11464a.vcf	4497
PD24303a.vcf	4500
PD13311a.vcf	4510
PD4198a.vcf	4517
PD14460a.vcf	4524
PD4255a.vcf	4554
PD14457a.vcf	4567
PD7249a.vcf	4584
PD6413a.vcf	4588
PD13620a.vcf	4598
PD3905a.vcf	4603
PD4959a.vcf	4611
PD13760a.vcf	4634
PD18749a.vcf	4661
PD14441a.vcf	4662
PD11393a.vcf	4669
PD6733b.vcf	4676
PD9571a.vcf	4700
PD13609a.vcf	4706
PD7206a.vcf	4740
PD24207a.vcf	4745
PD24308a.vcf	4752
PD7305a.vcf	4756
PD8998a.vcf	4769
PD4968a.vcf	4780
PD18048a.vcf	4786
PD4872a.vcf	4810
PD11397a.vcf	4827
PD13764a.vcf	4830
PD24322a.vcf	4868
PD6729a2.vcf	4872
PD13302a.vcf	4896
PD4876a.vcf	4908
PD6719a.vcf	4971
PD11388a.vcf	4989
PD9760a.vcf	5006
PD11348a.vcf	5010
PD6406a.vcf	5026
PD11340a.vcf	5064
PD8609a.vcf	5087
PD8610a.vcf	5098
PD7069a.vcf	5131
PD7202a.vcf	5141
PD6422a.vcf	5181
PD7240a.vcf	5188
PD4103a.vcf	5218
PD9464a.vcf	5251
PD13163a.vcf	5353
PD13307a.vcf	5353
PD23559a.vcf	5382
PD13162a.vcf	5404
PD13765a.vcf	5479
PD3890a.vcf	5584
PD11336a.vcf	5585
PD7316a.vcf	5647
PD3904a.vcf	5668
PD24337a.vcf	5707
PD4845a.vcf	5735
PD4954a.vcf	5764
PD9696a.vcf	5865
PD13606a.vcf	5893
PD22361a.vcf	5899
PD8973a.vcf	5908
PD13602a.vcf	5914
PD18037a.vcf	5971
PD7067a.vcf	5980
PD5942a.vcf	5990
PD4005a.vcf	6041
PD7321a.vcf	6055
PD4955a.vcf	6070
PD24191a.vcf	6120
PD11369a.vcf	6134
PD22358a.vcf	6158
PD24215a.vcf	6177
PD4976a.vcf	6275
PD13165a.vcf	6341
PD7215a.vcf	6384
PD4833a.vcf	6401
PD9575a.vcf	6500
PD6404a.vcf	6553
PD18259a.vcf	6639
PD23566a.vcf	6667
PD8978a.vcf	6670
PD6411a.vcf	6675
PD6727b.vcf	6679
PD18264a.vcf	6680
PD7243a.vcf	6774
PD4875a.vcf	6805
PD13418a.vcf	6808
PD8969a.vcf	6820
PD8611a.vcf	6828
PD11368a.vcf	6828
PD23578a.vcf	6840
PD4962a.vcf	6843
PD24304a.vcf	6853
PD11753a.vcf	6858
PD7306a.vcf	6863
PD23554a.vcf	6899
PD4953a.vcf	6946
PD4199a.vcf	6948
PD17981a.vcf	6964

Summary for medium_3.5k:
Total files: 142
Total variants: 726061
Average variants per file: 5113.11
