Files in small_2k category:
Filename	Variants
PD11765a.vcf	2002
PD7304a.vcf	2003
PD4985a.vcf	2004
PD9843a.vcf	2010
PD7322a.vcf	2015
PD6720a.vcf	2018
PD9600a.vcf	2019
PD8623a.vcf	2020
PD6418a.vcf	2020
PD17973a.vcf	2025
PD13306a.vcf	2026
PD13629a.vcf	2029
PD11347a.vcf	2031
PD13312a.vcf	2034
PD7221a.vcf	2040
PD8828a.vcf	2061
PD13770a.vcf	2079
PD13756a.vcf	2083
PD4069a.vcf	2085
PD14459a.vcf	2086
PD4076a.vcf	2091
PD11381a.vcf	2097
PD9761a.vcf	2103
PD18017a.vcf	2108
PD24329a.vcf	2111
PD13619a.vcf	2112
PD4264a.vcf	2118
PD4267a.vcf	2119
PD5953a.vcf	2136
PD9569a.vcf	2141
PD7204a.vcf	2176
PD5950a.vcf	2190
PD9759a.vcf	2192
PD4613a.vcf	2195
PD4248a.vcf	2196
PD11394a.vcf	2209
PD9065a.vcf	2210
PD24224a.vcf	2212
PD7238a.vcf	2217
PD9847a.vcf	2229
PD6721a.vcf	2231
PD18188a.vcf	2236
PD3989a.vcf	2238
PD24195a.vcf	2240
PD23570a.vcf	2245
PD11346a.vcf	2292
PD24221a.vcf	2293
PD14472a.vcf	2298
PD13758a.vcf	2299
PD11338a.vcf	2300
PD5961a.vcf	2314
PD13166a.vcf	2331
PD6045a.vcf	2333
PD11740a.vcf	2334
PD11364a.vcf	2339
PD18047a.vcf	2344
PD11398a.vcf	2347
PD11374a.vcf	2383
PD4266a.vcf	2388
PD22364a.vcf	2402
PD13167a.vcf	2405
PD4970a.vcf	2410
PD10010a.vcf	2430
PD11396a.vcf	2435
PD9467a.vcf	2463
PD5959a.vcf	2504
PD13754a.vcf	2506
PD14454a.vcf	2510
PD13168a.vcf	2528
PD11339a.vcf	2529
PD24318a.vcf	2546
PD18768a.vcf	2556
PD13763a.vcf	2563
PD18149a.vcf	2570
PD6044a.vcf	2573
PD6728b.vcf	2578
PD11383a.vcf	2579
PD11352a.vcf	2586
PD18754a.vcf	2593
PD13631a.vcf	2603
PD5944a.vcf	2609
PD24196a.vcf	2620
PD14462a.vcf	2628
PD11402a.vcf	2636
PD13767a.vcf	2638
PD4605a.vcf	2650
PD8620a.vcf	2657
PD11359a.vcf	2666
PD13426a.vcf	2699
PD4085a.vcf	2704
PD9001a.vcf	2705
PD9541a.vcf	2706
PD4965a.vcf	2706
PD11761a.vcf	2707
PD7220a.vcf	2709
PD11380a.vcf	2720
PD13164a.vcf	2722
PD9582a.vcf	2740
PD9584a.vcf	2753
PD4971a.vcf	2765
PD18031a.vcf	2769
PD11755a.vcf	2776
PD4951a.vcf	2779
PD5936a.vcf	2782
PD24204a.vcf	2795
PD13752a.vcf	2809
PD8997a.vcf	2831
PD11462a.vcf	2839
PD24199a.vcf	2854
PD7207a.vcf	2854
PD23550a.vcf	2866
PD18046a.vcf	2901
PD9597a.vcf	2911
PD6732b.vcf	2915
PD11343a.vcf	2944
PD18748a.vcf	2958
PD18257a.vcf	2973
PD6046a.vcf	2976
PD18769a.vcf	2982
PD11366a.vcf	3005
PD23560a.vcf	3006
PD11745a.vcf	3018
PD18733a.vcf	3019
PD13603a.vcf	3064
PD11337a.vcf	3073
PD24214a.vcf	3079
PD7341a.vcf	3090
PD14465a.vcf	3097
PD6048a.vcf	3102
PD11360a.vcf	3116
PD9845a.vcf	3147
PD11376a.vcf	3152
PD5951a.vcf	3193
PD9842a.vcf	3201
PD4967a.vcf	3227
PD8996a.vcf	3230
PD14471a.vcf	3270
PD4957a.vcf	3279
PD24218a.vcf	3288
PD13607a.vcf	3288
PD9599a.vcf	3295
PD11342a.vcf	3305
PD11743a.vcf	3309
PD24219a.vcf	3319
PD6416a.vcf	3331
PD24306a.vcf	3336
PD24336a.vcf	3339
PD9605a.vcf	3373
PD11357a.vcf	3379
PD11386a.vcf	3382
PD4315a.vcf	3388
PD18049a.vcf	3392
PD13428a.vcf	3422
PD24223a.vcf	3428
PD9752a.vcf	3476
PD18251a.vcf	3487
PD11399a.vcf	3496

Summary for small_2k:
Total files: 157
Total variants: 412161
Average variants per file: 2625.23
