Files in tiny category:
Filename	Variants
PD9844a.vcf	507
PD7344a.vcf	722
PD18101a.vcf	863
PD11767a.vcf	869
PD24200a.vcf	974
PD4969a.vcf	1032
PD22036a.vcf	1047
PD23569a.vcf	1055
PD13626a.vcf	1076
PD9578a.vcf	1088
PD13419a.vcf	1092
PD4606a.vcf	1129
PD7199a.vcf	1130
PD13427a.vcf	1134
PD18258a.vcf	1142
PD4972a.vcf	1145
PD9606a.vcf	1222
PD17991a.vcf	1222
PD13605a.vcf	1238
PD24302a.vcf	1268
PD11391a.vcf	1274
PD11370a.vcf	1279
PD9591a.vcf	1296
PD14450a.vcf	1298
PD17994a.vcf	1306
PD14439a.vcf	1316
PD7210a.vcf	1319
PD18775a.vcf	1330
PD8999a.vcf	1347
PD13768a.vcf	1352
PD18269a.vcf	1387
PD9544a.vcf	1389
PD9570a.vcf	1406
PD9589a.vcf	1413
PD4194a.vcf	1428
PD14461a.vcf	1436
PD8614a.vcf	1439
PD4982a.vcf	1474
PD7218a.vcf	1474
PD13757a.vcf	1487
PD7214a.vcf	1493
PD22251a.vcf	1505
PD8618a.vcf	1506
PD14458a.vcf	1513
PD13304a.vcf	1517
PD18100a.vcf	1531
PD14473a.vcf	1543
PD18116a.vcf	1544
PD6417a.vcf	1546
PD14468a.vcf	1549
PD9067a.vcf	1554
PD7203a.vcf	1564
PD7201a.vcf	1584
PD5964a.vcf	1590
PD24307a.vcf	1594
PD18022a.vcf	1602
PD11818a.vcf	1605
PD9573a.vcf	1616
PD9581a.vcf	1616
PD9593a.vcf	1617
PD9577a.vcf	1624
PD14467a.vcf	1624
PD18776a.vcf	1629
PD9574a.vcf	1634
PD9579a.vcf	1634
PD18756a.vcf	1635
PD11341a.vcf	1652
PD13762a.vcf	1653
PD4981a.vcf	1663
PD7209a.vcf	1665
PD11389a.vcf	1677
PD9193a.vcf	1682
PD11819a.vcf	1686
PD13761a.vcf	1688
PD4088a.vcf	1691
PD11766a.vcf	1695
PD9755a.vcf	1710
PD9694a.vcf	1712
PD11769a.vcf	1722
PD11361a.vcf	1723
PD11384a.vcf	1725
PD11762a.vcf	1734
PD14442a.vcf	1746
PD8981a.vcf	1748
PD6414a.vcf	1761
PD4983a.vcf	1763
PD18728a.vcf	1769
PD6041a.vcf	1771
PD11756a.vcf	1771
PD18771a.vcf	1776
PD5947a.vcf	1779
PD4261a.vcf	1796
PD13422a.vcf	1805
PD8622a.vcf	1809
PD6466b.vcf	1809
PD22359a.vcf	1817
PD3851a.vcf	1819
PD24225a.vcf	1821
PD13310a.vcf	1831
PD13618a.vcf	1833
PD11355a.vcf	1838
PD13420a.vcf	1862
PD14432a.vcf	1870
PD11744a.vcf	1882
PD11385a.vcf	1887
PD9754a.vcf	1897
PD8617a.vcf	1899
PD18730a.vcf	1901
PD22365a.vcf	1906
PD18751a.vcf	1907
PD6016a2.vcf	1911
PD6711a2.vcf	1914
PD24332a.vcf	1920
PD11375a.vcf	1934
PD13755a.vcf	1936
PD13416a.vcf	1939
PD22362a.vcf	1949
PD4086a.vcf	1951
PD11757a.vcf	1952
PD4225a.vcf	1955
PD8612a.vcf	1968
PD11741a.vcf	1976
PD4986a.vcf	1976
PD14456a.vcf	1977

Summary for tiny:
Total files: 124
Total variants: 194783
Average variants per file: 1570.83
