Files in group 1:
Filename	Variants
PD9844a.vcf	507
PD23569a.vcf	1055
PD18258a.vcf	1142
PD11370a.vcf	1279
PD8999a.vcf	1347
PD14461a.vcf	1436
PD8618a.vcf	1506
PD14468a.vcf	1549
PD11818a.vcf	1605
PD9574a.vcf	1634
PD11389a.vcf	1677
PD9694a.vcf	1712
PD6414a.vcf	1761
PD4261a.vcf	1796
PD13310a.vcf	1831
PD9754a.vcf	1897
PD24332a.vcf	1920
PD4225a.vcf	1955
PD4985a.vcf	2004
PD17973a.vcf	2025
PD13770a.vcf	2079
PD18017a.vcf	2108
PD7204a.vcf	2176
PD24224a.vcf	2212
PD23570a.vcf	2245
PD13166a.vcf	2331
PD4266a.vcf	2388
PD5959a.vcf	2504
PD13763a.vcf	2563
PD13631a.vcf	2603
PD8620a.vcf	2657
PD11761a.vcf	2707
PD18031a.vcf	2769
PD11462a.vcf	2839
PD11343a.vcf	2944
PD11745a.vcf	3018
PD6048a.vcf	3102
PD8996a.vcf	3230
PD11743a.vcf	3309
PD11386a.vcf	3382
PD11399a.vcf	3496
PD24220a.vcf	3611
PD13623a.vcf	3800
PD24335a.vcf	3948
PD9572a.vcf	4083
PD18189a.vcf	4272
PD11464a.vcf	4497
PD7249a.vcf	4584
PD14441a.vcf	4662
PD24308a.vcf	4752
PD13764a.vcf	4830
PD9760a.vcf	5006
PD7202a.vcf	5141
PD23559a.vcf	5382
PD24337a.vcf	5707
PD13602a.vcf	5914
PD24191a.vcf	6120
PD4833a.vcf	6401
PD6727b.vcf	6679
PD11368a.vcf	6828
PD4953a.vcf	6946
PD23567a.vcf	7198
PD11752a.vcf	7636
PD8621a.vcf	8062
PD13298a.vcf	8367
PD5925a.vcf	8780
PD8984a.vcf	9152
PD24182a.vcf	9537
PD4115a.vcf	9752
PD5932a.vcf	10060
PD4109a.vcf	10313
PD11344a.vcf	11028
PD4956a.vcf	11582
PD4844a.vcf	12810
PD11372a.vcf	13793
PD8652a2.vcf	15856
PD7426a.vcf	18497
PD11465a.vcf	22551
PD8660a2.vcf	26128
PD4977a.vcf	42258

Summary for group 1:
Total files: 80
Total variants: 454823
Average variants per file: 5685.29
