Files in group 2:
Filename	Variants
PD7344a+.vcf	722
PD23569a+.vcf	1055
PD13427a+.vcf	1134
PD24302a+.vcf	1268
PD14439a+.vcf	1316
PD9544a+.vcf	1389
PD4982a+.vcf	1474
PD14458a+.vcf	1513
PD14468a+.vcf	1549
PD18022a+.vcf	1602
PD14467a+.vcf	1624
PD13762a+.vcf	1653
PD13761a+.vcf	1688
PD11361a+.vcf	1723
PD4983a+.vcf	1763
PD4261a+.vcf	1796
PD24225a+.vcf	1821
PD18730a+.vcf	1871
PD18751a+.vcf	1907
PD13416a+.vcf	1939
PD4986a+.vcf	1976
PD9843a+.vcf	2010
PD17973a+.vcf	2025
PD8828a+.vcf	2061
PD11381a+.vcf	2097
PD4267a+.vcf	2119
PD4613a+.vcf	2195
PD9847a+.vcf	2229
PD11346a+.vcf	2292
PD13166a+.vcf	2331
PD11374a+.vcf	2383
PD11396a+.vcf	2435
PD11339a+.vcf	2529
PD6728b+.vcf	2578
PD24196a+.vcf	2620
PD11359a+.vcf	2666
PD11761a+.vcf	2707
PD4971a+.vcf	2765
PD13752a+.vcf	2809
PD18046a+.vcf	2901
PD6046a+.vcf	2976
PD13603a+.vcf	3064
PD11360a+.vcf	3116
PD8996a+.vcf	3230
PD11342a+.vcf	3305
PD9605a+.vcf	3373
PD24223a+.vcf	3428
PD8619a+.vcf	3571
PD14435a+.vcf	3716
PD18734a+.vcf	3801
PD24335a+.vcf	3948
PD8977a+.vcf	4046
PD9756a+.vcf	4212
PD13622a+.vcf	4355
PD4198a+.vcf	4517
PD13620a+.vcf	4598
PD11393a+.vcf	4669
PD24308a+.vcf	4752
PD11397a+.vcf	4827
PD6719a+.vcf	4971
PD8609a+.vcf	5087
PD4103a+.vcf	5218
PD13765a+.vcf	5479
PD4845a+.vcf	5735
PD13602a+.vcf	5914
PD4955a+.vcf	6070
PD13165a+.vcf	6341
PD23566a+.vcf	6667
PD4875a+.vcf	6805
PD4962a+.vcf	6843
PD4199a+.vcf	6948
PD23567a+.vcf	7198
PD8995a+.vcf	7586
PD7250a+.vcf	7890
PD8830a+.vcf	8246
PD9002a+.vcf	8476
PD5945a+.vcf	8833
PD7217a+.vcf	9169
PD24182a+.vcf	9537
PD9595a+.vcf	9722

Summary for group 2:
Total files: 80
Total variants: 300774
Average variants per file: 3759.68
