Sample	Variant_Count
chr10_1	100000
chr10_2	56151
chr11_1	100000
chr11_2	52980
chr12_1	100000
chr12_2	56740
chr13_1	100000
chr13_2	5920
chr14_1	97479
chr15_1	85759
chr16_1	92524
chr17_1	89496
chr18_1	90650
chr19_1	67265
chr1_1	100000
chr1_2	100000
chr1_3	90930
chr20_1	81035
chr21_1	45381
chr22_1	35970
chr2_1	100000
chr2_2	100000
chr2_3	87040
chr3_1	100000
chr3_2	100000
chr3_3	36950
chr4_1	100000
chr4_2	100000
chr4_3	14571
chr5_1	100000
chr5_2	100000
chr5_3	9432
chr6_1	100000
chr6_2	100000
chr6_3	8100
chr7_1	100000
chr7_2	100000
chr7_3	7356
chr8_1	100000
chr8_2	100000
chr8_3	21640
chr9_1	100000
chr9_2	29113
chrX_1	100000
chrX_2	100000
chrX_3	17087
chrY_1	82

Total variants: 3479651
